"CountryCode","CountryName","Region","DevelopmentStatus","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","membership","Col1","Col2"
"ISL","Iceland","Northern Europe","developed country",,,,,6.5,-8.7
"IND","India","Southern Asia","developing country",,,,,12.7,-7.3
"IDN","Indonesia","South-Eastern Asia","developing country",,,,,12.6,-7.7
"IRN","Iran (Islamic Republic of)","Southern Asia","developing country",,,,,13.2,-6.7
"IRQ","Iraq","Western Asia","developing country",,,,,11.5,-1.7
"IRL","Ireland","Northern Europe","developed country",,,,,6.5,-10.5
"ISR","Israel","Western Asia","developing country",,,,,-11.0,6.4
"ITA","Italy","Southern Europe","developed country",,,,,6.5,-10.2
"JAM","Jamaica","Caribbean","developing country",,,"Small island developing State",,11.6,-7.8
"JOR","Jordan","Western Asia","developing country",,,,,13.3,-7.0
"KWT","Kuwait","Western Asia","developing country",,,,,12.7,-7.3
"KGZ","Kyrgyzstan","Central Asia","developing country",,"Landlocked developing country",,,10.5,-3.3
"LAO","Lao People's Democratic Republic","South-Eastern Asia","developing country","Least developed country","Landlocked developing country",,,12.9,-8.1
"LVA","Latvia","Northern Europe","developed country",,,,,5.9,-9.7
"LBN","Lebanon","Western Asia","developing country",,,,,12.7,-7.3
"LSO","Lesotho","Southern Africa","developing country","Least developed country","Landlocked developing country",,,11.3,-4.3
"LBR","Liberia","Western Africa","developing country","Least developed country",,,,7.2,-0.8
"LIE","Liechtenstein","Western Europe","developed country",,,,,6.5,-10.2
"LTU","Lithuania","Northern Europe","developed country",,,,,5.9,-10.3
"LUX","Luxembourg","Western Europe","developed country",,,,,6.5,-10.2
"MDG","Madagascar","Eastern Africa","developing country","Least developed country",,,,0.9,-8.9
"MWI","Malawi","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,3.8,-3.3
"MYS","Malaysia","South-Eastern Asia","developing country",,,,,12.7,-7.3
"MDV","Maldives","Southern Asia","developing country",,,"Small island developing State",,13.2,-7.8
"MLI","Mali","Western Africa","developing country","Least developed country","Landlocked developing country",,,12.7,-7.9
"MLT","Malta","Southern Europe","developed country",,,,,10.5,-9.1
"MHL","Marshall Islands","Micronesia","developing country",,,"Small island developing State",,-11.4,4.1
"MRT","Mauritania","Western Africa","developing country","Least developed country",,,,13.9,-8.7
"MUS","Mauritius","Eastern Africa","developing country",,,"Small island developing State",,13.0,-5.8
"MEX","Mexico","Central America","developing country",,,,,10.7,-9.2
"FSM","Micronesia (Federated States of)","Micronesia","developing country",,,"Small island developing State",,-11.7,2.7
"MCO","Monaco","Western Europe","developed country",,,,,6.1,-10.4
"MNG","Mongolia","Eastern Asia","developing country",,"Landlocked developing country",,,7.3,-11.5
"MAR","Morocco","Northern Africa","developing country",,,,,12.7,-7.3
"MOZ","Mozambique","Eastern Africa","developing country","Least developed country",,,,12.9,-8.2
"MMR","Myanmar","South-Eastern Asia","developing country","Least developed country",,,,13.7,-9.2
"NAM","Namibia","Southern Africa","developing country",,,,,13.7,-8.2
"NPL","Nepal","Southern Asia","developing country","Least developed country","Landlocked developing country",,,13.3,-5.6
"NLD","Netherlands","Western Europe","developed country",,,,,6.1,-9.9
"NZL","New Zealand","Australia and New Zealand","developed country",,,,,5.6,-11.3
"NIC","Nicaragua","Central America","developing country",,,,,8.8,-5.5
"NER","Niger","Western Africa","developing country","Least developed country","Landlocked developing country",,,10.0,-1.2
"NGA","Nigeria","Western Africa","developing country",,,,,13.8,-9.7
"NOR","Norway","Northern Europe","developed country",,,,,6.2,-9.6
"OMN","Oman","Western Asia","developing country",,,,,12.7,-7.3
"PAK","Pakistan","Southern Asia","developing country",,,,,12.7,-7.3
"PLW","Palau","Micronesia","developing country",,,"Small island developing State",,-11.7,0.7
"PAN","Panama","Central America","developing country",,,,,7.3,-14.7
"PNG","Papua New Guinea","Melanesia","developing country",,,"Small island developing State",,1.4,-7.4
"PRY","Paraguay","South America","developing country",,"Landlocked developing country",,,10.3,-13.3
"PER","Peru","South America","developing country",,,,,6.5,-11.2
"PHL","Philippines","South-Eastern Asia","developing country",,,,,10.9,-9.4
"POL","Poland","Eastern Europe","developed country",,,,,6.1,-9.9
"QAT","Qatar","Western Asia","developing country",,,,,12.7,-7.3
"KOR","Republic of Korea","Eastern Asia","developing country",,,,,6.7,-11.6
"MDA","Republic of Moldova","Eastern Europe","developed country",,"Landlocked developing country",,,3.7,-10.1
"ROU","Romania","Eastern Europe","developed country",,,,,5.8,-9.5
"RWA","Rwanda","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,0.0,-4.3
"KNA","Saint Kitts and Nevis","Caribbean","developing country",,,"Small island developing State",,0.3,-2.2
"LCA","Saint Lucia","Caribbean","developing country",,,"Small island developing State",,13.4,-6.3
"VCT","Saint Vincent and the Grenadines","Caribbean","developing country",,,"Small island developing State",,10.4,-4.5
"WSM","Samoa","Polynesia","developing country",,,"Small island developing State",,3.7,-8.2
"SMR","San Marino","Southern Europe","developed country",,,,,6.3,-10.3
"STP","Sao Tome and Principe","Middle Africa","developing country","Least developed country",,"Small island developing State",,3.3,-0.7
"SAU","Saudi Arabia","Western Asia","developing country",,,,,12.7,-7.3
"SEN","Senegal","Western Africa","developing country","Least developed country",,,,12.9,-7.9
"SYC","Seychelles","Eastern Africa","developing country",,,"Small island developing State",,2.7,-1.9
"SLE","Sierra Leone","Western Africa","developing country","Least developed country",,,,11.3,-0.2
"SGP","Singapore","South-Eastern Asia","developing country",,,"Small island developing State",,12.4,-8.1
"SVK","Slovakia","Eastern Europe","developed country",,,,,6.3,-10.3
"SLB","Solomon Islands","Melanesia","developing country","Least developed country",,"Small island developing State",,8.0,-5.3
"SOM","Somalia","Eastern Africa","developing country","Least developed country",,,,12.9,-1.7
"ZAF","South Africa","Southern Africa","developing country",,,,,12.2,-6.7
"ESP","Spain","Southern Europe","developed country",,,,,6.4,-10.7
"LKA","Sri Lanka","Southern Asia","developing country",,,,,13.0,-7.7
"SDN","Sudan","Northern Africa","developing country","Least developed country",,,,13.3,-7.1
"SWZ","Swaziland","Southern Africa","developing country",,"Landlocked developing country",,,8.0,-1.6
